radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
3.4462  2.63396e-05   -0.00089232   0.0157   0.00296154   -2.31232e-06   7.6431e-06   0   -8.47033e-22   1.69407e-21   -6.35275e-22
3.4423  2.63487e-05   -0.000911098   0.0157189   0.00296155   -2.32359e-06   7.65438e-06   0   -4.23516e-22   -1.69407e-21   -2.11758e-22
3.4384  2.63578e-05   -0.000929939   0.0157377   0.00296156   -2.3349e-06   7.66571e-06   0   -8.47033e-22   0   -6.35275e-22
3.4345  2.63669e-05   -0.000948844   0.0157567   0.00296157   -2.34625e-06   7.67707e-06   0   -4.23516e-22   -1.69407e-21   0
3.4306  2.63761e-05   -0.000967814   0.0157757   0.00296158   -2.35763e-06   7.68847e-06   0   -4.23516e-22   0   -4.23516e-22
3.4267  2.63853e-05   -0.000986848   0.0157948   0.00296158   -2.36906e-06   7.69991e-06   0   -4.23516e-22   0   -4.23516e-22
3.4228  2.63946e-05   -0.00100595   0.0158139   0.00296159   -2.38052e-06   7.71139e-06   0   -8.47033e-22   0   -4.23516e-22
3.4189  2.64039e-05   -0.00102511   0.0158331   0.0029616   -2.39203e-06   7.72291e-06   0   -4.23516e-22   0   -2.11758e-22
3.415  2.64132e-05   -0.00104434   0.0158524   0.00296161   -2.40357e-06   7.73447e-06   0   -4.23516e-22   0   -4.23516e-22
3.4111  2.64226e-05   -0.00106364   0.0158717   0.00296162   -2.41515e-06   7.74607e-06   0   -4.23516e-22   0   -4.23516e-22
3.4072  2.6432e-05   -0.001083   0.0158911   0.00296163   -2.42678e-06   7.7577e-06   0   -4.23516e-22   0   -2.11758e-22
3.4033  2.64415e-05   -0.00110243   0.0159106   0.00296163   -2.43844e-06   7.76938e-06   0   -8.47033e-22   1.69407e-21   -4.23516e-22
3.3994  2.64511e-05   -0.00112193   0.0159301   0.00296164   -2.45014e-06   7.7811e-06   0   0   0   0
3.3955  2.64606e-05   -0.00114149   0.0159497   0.00296165   -2.46188e-06   7.79286e-06   0   -4.23516e-22   0   -2.11758e-22
3.3916  2.64703e-05   -0.00116112   0.0159694   0.00296166   -2.47367e-06   7.80466e-06   0   -4.23516e-22   -1.69407e-21   -2.11758e-22
3.3877  2.64799e-05   -0.00118082   0.0159892   0.00296167   -2.48549e-06   7.81649e-06   0   -4.23516e-22   0   -4.23516e-22
3.3838  2.64897e-05   -0.00120059   0.016009   0.00296168   -2.49736e-06   7.82838e-06   0   -4.23516e-22   0   -2.11758e-22
3.3799  2.64994e-05   -0.00122042   0.0160288   0.00296169   -2.50926e-06   7.8403e-06   0   -4.23516e-22   0   -2.11758e-22
3.376  2.65092e-05   -0.00124032   0.0160488   0.00296169   -2.52121e-06   7.85226e-06   0   -4.23516e-22   0   0
3.3721  2.65191e-05   -0.0012603   0.0160688   0.0029617   -2.5332e-06   7.86426e-06   0   -4.23516e-22   0   -4.23516e-22
3.3682  2.6529e-05   -0.00128034   0.0160889   0.00296171   -2.54523e-06   7.87631e-06   0   0   0   -2.11758e-22
3.3643  2.65389e-05   -0.00130045   0.0161091   0.00296172   -2.5573e-06   7.8884e-06   0   0   0   -4.23516e-22
3.3604  2.65489e-05   -0.00132063   0.0161293   0.00296173   -2.56942e-06   7.90053e-06   0   -4.23516e-22   0   -2.11758e-22
3.3565  2.6559e-05   -0.00134088   0.0161496   0.00296174   -2.58157e-06   7.9127e-06   0   0   0   -4.23516e-22
3.3526  2.65691e-05   -0.00136121   0.0161699   0.00296175   -2.59377e-06   7.92492e-06   0   -8.47033e-22   0   -6.35275e-22
3.3487  2.65792e-05   -0.0013816   0.0161904   0.00296176   -2.60601e-06   7.93717e-06   0   -4.23516e-22   -1.69407e-21   -4.23516e-22
3.3448  2.65894e-05   -0.00140207   0.0162109   0.00296176   -2.6183e-06   7.94947e-06   0   -4.23516e-22   0   -2.11758e-22
3.3409  2.65996e-05   -0.0014226   0.0162315   0.00296177   -2.63063e-06   7.96182e-06   0   -8.47033e-22   0   -4.23516e-22
3.337  2.66099e-05   -0.00144321   0.0162521   0.00296178   -2.643e-06   7.9742e-06   0   -8.47033e-22   0   -6.35275e-22
3.3331  2.66202e-05   -0.00146389   0.0162728   0.00296179   -2.65541e-06   7.98663e-06   0   0   -1.69407e-21   -4.23516e-22
3.3292  2.66306e-05   -0.00148464   0.0162936   0.0029618   -2.66787e-06   7.99911e-06   0   -4.23516e-22   -1.69407e-21   -4.23516e-22
3.3253  2.66411e-05   -0.00150547   0.0163145   0.00296181   -2.68037e-06   8.01163e-06   0   -8.47033e-22   -1.69407e-21   -6.35275e-22
3.3214  2.66515e-05   -0.00152637   0.0163355   0.00296182   -2.69291e-06   8.02419e-06   0   -8.47033e-22   0   -6.35275e-22
3.3175  2.66621e-05   -0.00154734   0.0163565   0.00296183   -2.7055e-06   8.03679e-06   0   -4.23516e-22   -1.69407e-21   -4.23516e-22
3.3136  2.66726e-05   -0.00156839   0.0163776   0.00296184   -2.71814e-06   8.04944e-06   0   -8.47033e-22   0   -4.23516e-22
3.3097  2.66833e-05   -0.00158951   0.0163987   0.00296185   -2.73082e-06   8.06214e-06   0   -4.23516e-22   0   -8.47033e-22
3.3058  2.66939e-05   -0.00161071   0.01642   0.00296186   -2.74354e-06   8.07488e-06   0   -4.23516e-22   0   -4.23516e-22
3.3019  2.67047e-05   -0.00163198   0.0164413   0.00296187   -2.75631e-06   8.08767e-06   0   -8.47033e-22   0   -4.23516e-22
3.298  2.67154e-05   -0.00165333   0.0164627   0.00296187   -2.76912e-06   8.1005e-06   0   -4.23516e-22   0   0
3.2941  2.67263e-05   -0.00167475   0.0164842   0.00296188   -2.78198e-06   8.11337e-06   0   -8.47033e-22   1.69407e-21   -4.23516e-22
3.2902  2.67371e-05   -0.00169625   0.0165057   0.00296189   -2.79489e-06   8.1263e-06   0   -4.23516e-22   0   -4.23516e-22
3.2863  2.67481e-05   -0.00171783   0.0165273   0.0029619   -2.80784e-06   8.13926e-06   0   -8.47033e-22   0   -6.35275e-22
3.2824  2.6759e-05   -0.00173948   0.016549   0.00296191   -2.82084e-06   8.15228e-06   0   -4.23516e-22   1.69407e-21   -4.23516e-22
3.2785  2.67701e-05   -0.00176121   0.0165708   0.00296192   -2.83388e-06   8.16534e-06   0   0   0   0
3.2746  2.67811e-05   -0.00178302   0.0165927   0.00296193   -2.84697e-06   8.17845e-06   0   -4.23516e-22   0   -4.23516e-22
3.2707  2.67923e-05   -0.0018049   0.0166146   0.00296194   -2.86011e-06   8.1916e-06   0   -8.47033e-22   0   -6.35275e-22
3.2668  2.68035e-05   -0.00182686   0.0166366   0.00296195   -2.87329e-06   8.2048e-06   0   -4.23516e-22   0   -6.35275e-22
