radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
3.96646  2.15506e-05   -0.00642463   0.00971301   0.000657676   -4.24938e-06   5.4332e-06   0   0   8.47033e-22   -2.11758e-22
3.96607  2.15522e-05   -0.00642621   0.00971459   0.000657676   -4.25033e-06   5.43415e-06   0   0   0   -1.05879e-22
3.96568  2.15539e-05   -0.0064278   0.00971618   0.000657676   -4.25129e-06   5.4351e-06   0   0   -8.47033e-22   0
3.96529  2.15555e-05   -0.00642939   0.00971777   0.000657676   -4.25224e-06   5.43606e-06   0   0   8.47033e-22   -2.11758e-22
3.9649  2.15572e-05   -0.00643098   0.00971936   0.000657676   -4.25319e-06   5.43701e-06   0   0   8.47033e-22   0
3.96451  2.15589e-05   -0.00643257   0.00972095   0.000657676   -4.25414e-06   5.43796e-06   0   -8.47033e-22   8.47033e-22   -2.11758e-22
3.96412  2.15605e-05   -0.00643415   0.00972254   0.000657676   -4.2551e-06   5.43892e-06   0   0   0   -5.29396e-23
3.96373  2.15622e-05   -0.00643574   0.00972412   0.000657676   -4.25605e-06   5.43987e-06   0   -8.47033e-22   0   -2.64698e-22
3.96334  2.15638e-05   -0.00643733   0.00972572   0.000657676   -4.25701e-06   5.44082e-06   0   0   0   -2.11758e-22
3.96295  2.15655e-05   -0.00643892   0.00972731   0.000657676   -4.25796e-06   5.44178e-06   0   -8.47033e-22   0   0
3.96256  2.15672e-05   -0.00644052   0.0097289   0.000657676   -4.25892e-06   5.44273e-06   0   0   8.47033e-22   0
3.96217  2.15688e-05   -0.00644211   0.00973049   0.000657676   -4.25987e-06   5.44369e-06   0   -8.47033e-22   0   -1.58819e-22
3.96178  2.15705e-05   -0.0064437   0.00973208   0.000657676   -4.26083e-06   5.44464e-06   0   -8.47033e-22   8.47033e-22   -1.05879e-22
3.96139  2.15721e-05   -0.00644529   0.00973367   0.000657677   -4.26178e-06   5.4456e-06   0   0   -8.47033e-22   -1.05879e-22
3.961  2.15738e-05   -0.00644688   0.00973527   0.000657677   -4.26274e-06   5.44655e-06   0   0   8.47033e-22   -2.11758e-22
3.96061  2.15755e-05   -0.00644848   0.00973686   0.000657677   -4.26369e-06   5.44751e-06   0   0   -8.47033e-22   -5.29396e-23
3.96022  2.15771e-05   -0.00645007   0.00973845   0.000657677   -4.26465e-06   5.44847e-06   0   0   0   -1.05879e-22
3.95983  2.15788e-05   -0.00645167   0.00974005   0.000657677   -4.26561e-06   5.44942e-06   0   0   0   -1.58819e-22
3.95944  2.15805e-05   -0.00645326   0.00974164   0.000657677   -4.26656e-06   5.45038e-06   0   -8.47033e-22   -8.47033e-22   0
3.95905  2.15821e-05   -0.00645486   0.00974324   0.000657677   -4.26752e-06   5.45134e-06   0   -8.47033e-22   8.47033e-22   -1.05879e-22
3.95866  2.15838e-05   -0.00645645   0.00974484   0.000657677   -4.26848e-06   5.4523e-06   0   -8.47033e-22   0   -2.11758e-22
3.95827  2.15854e-05   -0.00645805   0.00974643   0.000657677   -4.26943e-06   5.45325e-06   0   0   8.47033e-22   -1.58819e-22
3.95788  2.15871e-05   -0.00645964   0.00974803   0.000657677   -4.27039e-06   5.45421e-06   0   0   8.47033e-22   -5.29396e-23
